time_recv,packet_time,igniterarmed,ignitercurrent0,ignitercurrent1,igniterinternalstate0,igniterinternalstate1,alarminternalstate,solenoidinternalstategn2fill,solenoidinternalstategn2vent,solenoidinternalstategn2disconnect,solenoidinternalstatemvasfill,solenoidinternalstatemvasvent,solenoidinternalstatemvasopen,solenoidinternalstatemvasclose,solenoidinternalstateloxvent,solenoidinternalstatelngvent,supplyvoltage0,supplyvoltage1,supplyvoltage,solenoidcurrentgn2fill,solenoidcurrentgn2vent,solenoidcurrentgn2disconnect,solenoidcurrentmvasfill,solenoidcurrentmvasvent,solenoidcurrentmvasopen,solenoidcurrentmvasclose,solenoidcurrentloxvent,solenoidcurrentlngvent,temperatureengine1,temperatureengine2,pressuregn2,pressurevent,pressureloxinjtee,pressureloxmvas
1771701809.7306173,30028088,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8938000202178955,22.82940101623535,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,654.9208039283752,278.93359484672544,11.9,633.2760089874267
1771701809.6805623,30027988,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8813999891281128,22.823200225830078,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,653.7047833442688,275.28560104370115,11.9,634.4919842720032
1771701809.6305797,30027888,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8938000202178955,22.841800689697266,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,652.9751891136169,277.47440638542173,11.9,630.6007999420166
1771701809.580959,30027788,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8938000202178955,22.82940101623535,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,653.7047833442688,282.824801826477,11.9,632.7895826339721
1771701809.5306718,30027688,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8938000202178955,22.835599899291992,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,657.5960129737854,280.63599648475645,11.9,632.5464147567749
1771701809.4810905,30027588,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8938000202178955,22.841800689697266,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,653.9479965209961,280.1495927810669,11.9,632.3032015800476
1771701809.4307294,30027488,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8999999761581421,22.82940101623535,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,656.3799923896789,280.63599648475645,11.9,644.4631809234619
1771701809.3802392,30027388,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8938000202178955,22.847999572753906,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,651.2727874755859,275.52879157066343,11.9,630.6007999420166
1771701809.3305655,30027288,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8938000202178955,22.841800689697266,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,654.1912096977234,279.9064022541046,11.9,633.519222164154
1771701809.2800033,30027188,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8938000202178955,22.823200225830078,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,655.6503981590271,280.1495927810669,11.9,634.4919842720032
1771701809.2311273,30027088,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8938000202178955,22.835599899291992,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,653.4616154670715,280.63599648475645,11.9,627.4392098426819
1771701809.1811619,30026988,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8999999761581421,22.82940101623535,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,655.6503981590271,281.3655907154083,11.9,635.221578502655
1771701809.1311512,30026888,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8938000202178955,22.835599899291992,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,654.6775907516479,283.0679923534393,11.9,634.4919842720032
1771701809.0800123,30026788,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8938000202178955,22.823200225830078,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,652.4888080596924,284.52720346450803,11.9,631.3303941726684
1771701809.0307164,30026688,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8813999891281128,22.835599899291992,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,658.8119882583618,268.4759944915771,11.9,632.7895826339721
1771701808.9801476,30026588,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8938000202178955,22.841800689697266,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,658.5688203811645,278.44719114303587,11.9,633.7623900413513
1771701808.9315293,30026488,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9062000513076782,22.82940101623535,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,654.6775907516479,294.4984001159668,11.9,641.5448040008545
1771701808.880667,30026388,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8813999891281128,22.847999572753906,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,651.5160006523132,259.23439207077024,11.9,631.3303941726684
1771701808.830501,30026288,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.9124000072479248,22.85420036315918,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,662.7032178878784,293.28240218162534,11.9,633.7623900413513
