time_recv, packet_time, packetrssi, packetloss, solenoidinternalstatecopvvent, solenoidinternalstatepv1, solenoidinternalstatepv2, solenoidinternalstatevent, supplyvoltage, batteryvoltage, solenoidcurrentcopvvent, solenoidcurrentpv1, solenoidcurrentpv2, solenoidcurrentvent, temperaturecopv, pressurecopv, pressurelox, pressurelng, pressureinjectorlox, pressureinjectorlng, angularvelocityx, angularvelocityy, angularvelocityz, accelerationx, accelerationy, accelerationz, magneticfieldx, magneticfieldy, magneticfieldz, temperature, altitude, ecefpositionx, ecefpositiony, ecefpositionz, ecefpositionaccuracy, ecefvelocityx, ecefvelocityy, ecefvelocityz, ecefvelocityaccuracy
1771701867.8435507,30144252,0.0,0.0,True,True,False,False,23.10219955444336,1.4021999835968018,0.3897089958190918,0.3202640116214752,0.0,0.0,36.5,37.2,11.9,11.9,11.9,140.7959962129593,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1771701867.7977192,30144152,0.0,0.0,True,True,False,False,23.120800018310547,1.4146000146865845,0.3905259966850281,0.3210809826850891,0.0,0.0,36.75,37.2,11.9,11.9,11.9,141.76880362033845,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1771701867.7591896,30144052,0.0,0.0,True,True,False,False,23.04640007019043,1.4518001079559326,0.3897089958190918,0.3202640116214752,0.0,0.0,37.0,37.2,11.9,11.9,11.9,126.4472002029419,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1771701867.6934607,30143952,0.0,0.0,True,True,False,False,23.10219955444336,1.3835999965667725,0.38725799322128296,0.3210809826850891,0.0,0.0,37.0,37.2,11.9,11.9,11.9,124.01520433425904,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1771701867.6559112,30143852,0.0,0.0,True,True,False,False,23.120800018310547,1.4393999576568604,0.3897089958190918,0.3210809826850891,0.0,0.0,36.25,37.2,11.9,11.9,11.9,119.63760497570038,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1771701867.5937128,30143752,0.0,0.0,True,True,False,False,23.052600860595703,1.3835999965667725,0.39215999841690063,0.3218979835510254,0.0,0.0,37.0,37.2,11.9,11.9,11.9,121.33999528884888,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1771701867.5437002,30143652,0.0,0.0,True,True,False,False,23.10219955444336,1.4146000146865845,0.38807499408721924,0.3218979835510254,0.0,0.0,37.0,37.2,11.9,11.9,11.9,119.63760497570038,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1771701867.493645,30143552,0.0,0.0,True,True,False,False,23.0216007232666,1.3960000276565552,0.3897089958190918,0.3218979835510254,0.0,0.0,37.0,37.2,11.9,11.9,11.9,115.98959984779358,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1771701867.44349,30143452,0.0,0.0,True,True,False,False,23.07740020751953,1.4021999835968018,0.3897089958190918,0.3210809826850891,0.0,0.0,36.75,37.2,11.9,11.9,11.9,119.88079550266266,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1771701867.3941069,30143352,0.0,0.0,True,True,False,False,23.195199966430664,1.4518001079559326,0.38725799322128296,0.3210809826850891,0.0,0.0,36.75,37.2,11.9,11.9,11.9,115.26000561714173,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1771701867.3435013,30143252,0.0,0.0,True,True,False,False,23.052600860595703,1.408400058746338,0.3897089958190918,0.3218979835510254,0.0,0.0,36.75,37.2,11.9,11.9,11.9,112.0984041929245,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1771701867.2936664,30143152,0.0,0.0,True,True,False,False,23.195199966430664,1.3898000717163086,0.3888919949531555,0.3210809826850891,0.0,0.0,36.75,37.2,11.9,11.9,11.9,106.26159938573838,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1771701867.2437596,30143052,0.0,0.0,True,True,False,False,23.052600860595703,1.3835999965667725,0.3905259966850281,0.3218979835510254,0.0,0.0,37.0,37.2,11.9,11.9,11.9,107.47760298252106,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1771701867.193675,30142952,0.0,0.0,True,True,False,False,23.052600860595703,1.4021999835968018,0.3905259966850281,0.3202640116214752,0.0,0.0,37.0,37.2,11.9,11.9,11.9,111.85520234107972,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1771701867.143851,30142852,0.0,0.0,True,True,False,False,23.10219955444336,1.420799970626831,0.3897089958190918,0.3202640116214752,0.0,0.0,36.75,37.2,11.9,11.9,11.9,100.4248002409935,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1771701867.093544,30142752,0.0,0.0,True,True,False,False,23.052600860595703,1.3650000095367432,0.3905259966850281,0.3210809826850891,0.0,0.0,36.5,37.2,11.9,11.9,11.9,99.20880230665207,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1771701867.0436516,30142652,0.0,0.0,True,True,False,False,23.09600067138672,1.420799970626831,0.3897089958190918,0.3210809826850891,0.0,0.0,36.5,37.2,11.9,11.9,11.9,96.53359892368317,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1771701866.9940336,30142552,0.0,0.0,True,True,False,False,23.083600997924805,1.4021999835968018,0.3897089958190918,0.3218979835510254,0.0,0.0,36.75,37.2,11.9,11.9,11.9,102.85680177211762,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1771701866.9440265,30142452,0.0,0.0,True,True,False,False,23.089799880981445,1.4021999835968018,0.3905259966850281,0.3210809826850891,0.0,0.0,36.75,37.2,11.9,11.9,11.9,98.23600056171418,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1771701866.8942094,30142352,0.0,0.0,True,True,False,False,23.13319969177246,1.4146000146865845,0.39134299755096436,0.3210809826850891,0.0,0.0,36.75,37.2,11.9,11.9,11.9,97.99279870986939,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1771701866.8441148,30142252,0.0,0.0,True,True,False,False,23.0216007232666,1.3960000276565552,0.3905259966850281,0.3218979835510254,0.0,0.0,36.5,37.2,11.9,11.9,11.9,99.45199849605561,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1771701866.7935584,30142152,0.0,0.0,True,True,False,False,23.15180015563965,1.420799970626831,0.38807499408721924,0.32353198528289795,0.0,0.0,36.5,37.2,11.9,11.9,11.9,106.26159938573838,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1771701866.743622,30142052,0.0,0.0,True,True,False,False,23.07740020751953,1.3588000535964966,0.3897089958190918,0.32271498441696167,0.0,0.0,36.5,37.2,11.9,11.9,11.9,95.56079717874528,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1771701866.693669,30141952,0.0,0.0,True,True,False,False,23.12700080871582,1.3960000276565552,0.3888919949531555,0.32271498441696167,0.0,0.0,36.75,37.2,11.9,11.9,11.9,99.93840219974518,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1771701866.6437829,30141852,0.0,0.0,True,True,False,False,23.09600067138672,1.4021999835968018,0.3888919949531555,0.3218979835510254,0.0,0.0,37.5,37.2,11.9,11.9,11.9,111.85520234107972,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1771701866.5936537,30141752,0.0,0.0,True,True,False,False,23.0216007232666,1.3898000717163086,0.38807499408721924,0.3210809826850891,0.0,0.0,37.5,37.2,11.9,11.9,11.9,113.800794506073,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1771701866.543797,30141652,0.0,0.0,True,True,False,False,23.04640007019043,1.4393999576568604,0.3888919949531555,0.3218979835510254,0.0,0.0,36.75,37.2,11.9,11.9,11.9,103.34319981336594,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1771701866.4936497,30141552,0.0,0.0,True,True,False,False,23.052600860595703,1.408400058746338,0.39215999841690063,0.3202640116214752,0.0,0.0,36.75,37.2,11.9,11.9,11.9,110.88239493370057,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1771701866.443803,30141452,0.0,0.0,True,True,False,False,23.120800018310547,1.408400058746338,0.3905259966850281,0.32353198528289795,0.0,0.0,36.75,37.2,11.9,11.9,11.9,100.91119828224183,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1771701866.393753,30141352,0.0,0.0,True,True,False,False,23.09600067138672,1.3898000717163086,0.3888919949531555,0.31944701075553894,0.0,0.0,36.75,37.2,11.9,11.9,11.9,99.93840219974518,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1771701866.3438377,30141252,0.0,0.0,True,True,False,False,23.04640007019043,1.3960000276565552,0.3905259966850281,0.3218979835510254,0.0,0.0,37.0,37.2,11.9,11.9,11.9,101.64079817533494,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1771701866.2941134,30141152,0.0,0.0,True,True,False,False,23.15180015563965,1.4270000457763672,0.3888919949531555,0.3210809826850891,0.0,0.0,37.0,37.2,11.9,11.9,11.9,112.34159471988679,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1771701866.244209,30141052,0.0,0.0,True,True,False,False,23.15180015563965,1.3835999965667725,0.3905259966850281,0.3210809826850891,0.0,0.0,36.75,37.2,11.9,11.9,11.9,103.58640166521073,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1771701866.1938865,30140952,0.0,0.0,True,True,False,False,23.052600860595703,1.3960000276565552,0.3897089958190918,0.3202640116214752,0.0,0.0,37.0,37.2,11.9,11.9,11.9,106.7479974269867,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1771701866.143633,30140852,0.0,0.0,True,True,False,False,23.071199417114258,1.4393999576568604,0.3897089958190918,0.3210809826850891,0.0,0.0,37.0,37.2,11.9,11.9,11.9,114.77360191345215,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
